distance_kpc,ra_center,dec_center,radius_deg,radius_pc,n_members,source_file
1.0,307.23362319219774,-26.680842697382023,0.3768954305526551,6.578066198865463,219,cluster_d1.00kpc_ra307.2336_dec-26.6808_id33.csv
1.0,304.4613401466596,-28.691085552781338,0.39689385178003106,6.927104494483899,247,cluster_d1.00kpc_ra304.4613_dec-28.6911_id34.csv
1.0,307.56941560375293,-24.355609636120725,0.6296981535652891,10.990306073443165,421,cluster_d1.00kpc_ra307.5694_dec-24.3556_id35.csv
1.0,307.6731058520524,-22.96730999848152,0.5177256744285531,9.036017640886463,367,cluster_d1.00kpc_ra307.6731_dec-22.9673_id36.csv
1.0,305.9287544619145,-24.280350950027888,0.6271642703786369,10.946081468975157,437,cluster_d1.00kpc_ra305.9288_dec-24.2804_id37.csv
1.0,306.64708480264966,-23.13028853353547,0.40718786117542743,7.106768851664796,216,cluster_d1.00kpc_ra306.6471_dec-23.1303_id38.csv
1.0,307.0073119137846,-21.629447796488577,0.5919227579358735,10.331001043466387,480,cluster_d1.00kpc_ra307.0073_dec-21.6294_id39.csv
1.0,308.90714142883235,-20.46998258971771,0.3857082103044837,6.731878221787961,216,cluster_d1.00kpc_ra308.9071_dec-20.4700_id40.csv
1.0,307.85348980837756,-19.89173766770449,0.40785424822749355,7.118399499816009,230,cluster_d1.00kpc_ra307.8535_dec-19.8917_id41.csv
1.0,310.7883249824144,-14.692668450340673,1.2914851774383638,22.540668587002635,1085,cluster_d1.00kpc_ra310.7883_dec-14.6927_id42.csv
1.0,310.2112705653979,-13.6955863879075,0.4024772420229746,7.02455303764699,248,cluster_d1.00kpc_ra310.2113_dec-13.6956_id43.csv
1.0,311.4117052360805,-12.183896684464402,0.7557080367815221,13.189593425619973,576,cluster_d1.00kpc_ra311.4117_dec-12.1839_id44.csv
1.0,312.4269178569747,-9.17860019015491,0.6275606648640802,10.952999857882894,476,cluster_d1.00kpc_ra312.4269_dec-9.1786_id45.csv
1.0,313.8089725276767,-7.507267014908187,0.5694030811315339,9.937958536745667,375,cluster_d1.00kpc_ra313.8090_dec-7.5073_id46.csv
1.0,316.1096351656879,-2.6639889927955895,0.4116792275934531,7.185157983572848,228,cluster_d1.00kpc_ra316.1096_dec-2.6640_id47.csv
1.122018454301964,5.971087994125083,-72.03619923797704,0.6048726941136555,11.845171338386383,366,cluster_d1.12kpc_ra5.9711_dec-72.0362_id1.csv
1.122018454301964,298.25102427857803,-72.39346023653538,0.5534504656546751,10.83817414273546,422,cluster_d1.12kpc_ra298.2510_dec-72.3935_id2.csv
1.122018454301964,302.67657457270957,-72.37280450765799,0.3490851104245409,6.836104497521352,210,cluster_d1.12kpc_ra302.6766_dec-72.3728_id3.csv
1.122018454301964,305.56126310365323,-71.65263205346974,0.3507247612281117,6.868213641961867,194,cluster_d1.12kpc_ra305.5613_dec-71.6526_id4.csv
1.122018454301964,299.0543296663549,-71.24153057886059,0.7692750489802485,15.064648892555958,563,cluster_d1.12kpc_ra299.0543_dec-71.2415_id5.csv
1.122018454301964,301.1871212020011,-70.38205278736561,0.5090575572830979,9.968831533971878,404,cluster_d1.12kpc_ra301.1871_dec-70.3821_id6.csv
1.122018454301964,300.12167195286287,-69.21799348476686,0.941784906531825,18.44289499317279,778,cluster_d1.12kpc_ra300.1217_dec-69.2180_id7.csv
1.122018454301964,304.31973344251656,-67.79070776217434,0.5761728428985832,11.283144554342384,441,cluster_d1.12kpc_ra304.3197_dec-67.7907_id8.csv
1.122018454301964,303.59919030621774,-66.36509514433446,0.49894787439903887,9.770854460277212,343,cluster_d1.12kpc_ra303.5992_dec-66.3651_id9.csv
1.122018454301964,296.9390781611673,-66.46575633886337,0.3938675306652867,7.713074884615043,262,cluster_d1.12kpc_ra296.9391_dec-66.4658_id10.csv
1.122018454301964,299.9199147819857,-66.06968510617813,0.3764076060991131,7.371158643306311,237,cluster_d1.12kpc_ra299.9199_dec-66.0697_id11.csv
1.122018454301964,297.69085686522084,-63.865394319210566,0.8829703907457501,17.291135253561556,812,cluster_d1.12kpc_ra297.6909_dec-63.8654_id12.csv
1.122018454301964,297.7481691475667,-62.58473986179436,0.7843555189699274,15.359968474063761,621,cluster_d1.12kpc_ra297.7482_dec-62.5847_id13.csv
1.122018454301964,298.6653082770869,-60.63545652417958,1.4286776325517583,27.977674491809648,1766,cluster_d1.12kpc_ra298.6653_dec-60.6355_id14.csv
1.122018454301964,297.2535122259953,-58.72167385611057,0.4625150593220322,9.057393692207224,345,cluster_d1.12kpc_ra297.2535_dec-58.7217_id15.csv
1.122018454301964,298.6315509347455,-57.497537807924715,1.1348835523438237,22.224329610923494,1244,cluster_d1.12kpc_ra298.6316_dec-57.4975_id16.csv
1.122018454301964,301.3011481135501,-56.14819101173951,0.3475449385636083,6.805943440887707,194,cluster_d1.12kpc_ra301.3011_dec-56.1482_id17.csv
1.122018454301964,297.68106056492127,-55.64411485100343,0.7793543488446015,15.262030978118913,628,cluster_d1.12kpc_ra297.6811_dec-55.6441_id18.csv
1.122018454301964,300.28595928182,-53.6070773634713,0.4645356922609299,9.096963577914007,331,cluster_d1.12kpc_ra300.2860_dec-53.6071_id19.csv
1.122018454301964,297.85391231171434,-53.804334626010274,0.3510197170727985,6.873989737579299,204,cluster_d1.12kpc_ra297.8539_dec-53.8043_id20.csv
1.122018454301964,298.00519244352034,-52.95042884461186,0.3850241907521324,7.53989649932126,260,cluster_d1.12kpc_ra298.0052_dec-52.9504_id21.csv
1.122018454301964,301.60478680898956,-51.53452073091525,0.3361679921795899,6.58314965214873,194,cluster_d1.12kpc_ra301.6048_dec-51.5345_id22.csv
1.122018454301964,298.5885329998762,-50.63457586978771,0.6410663368012968,12.553948413575181,544,cluster_d1.12kpc_ra298.5885_dec-50.6346_id23.csv
1.122018454301964,299.53357012412266,-48.17105398430127,1.2238140142126168,23.965847401838616,1316,cluster_d1.12kpc_ra299.5336_dec-48.1711_id24.csv
1.122018454301964,299.4235907844921,-46.02537188917866,0.38891651906590335,7.616119638885246,260,cluster_d1.12kpc_ra299.4236_dec-46.0254_id25.csv
1.122018454301964,302.2084494243687,-47.0703081671326,0.4145605286245176,8.118304131557895,294,cluster_d1.12kpc_ra302.2084_dec-47.0703_id26.csv
1.122018454301964,303.6699622003859,-43.7801627921726,0.6982865191688641,13.674486455304333,544,cluster_d1.12kpc_ra303.6700_dec-43.7802_id27.csv
1.122018454301964,301.15319733845325,-45.57780524198841,0.5428090083329195,10.629783374739182,399,cluster_d1.12kpc_ra301.1532_dec-45.5778_id28.csv
1.122018454301964,300.7042510286439,-43.896282656215476,0.8855772012781553,17.342184206016412,1064,cluster_d1.12kpc_ra300.7043_dec-43.8963_id29.csv
1.122018454301964,300.22901965615506,-42.65205411233236,0.35858425531523863,7.022125456796677,205,cluster_d1.12kpc_ra300.2290_dec-42.6521_id30.csv
1.122018454301964,300.78790713285935,-41.72783551848098,0.610630399059288,11.95792399239208,542,cluster_d1.12kpc_ra300.7879_dec-41.7278_id31.csv
1.122018454301964,302.75545590973445,-41.50510134048652,0.44158319814866526,8.647486806935825,319,cluster_d1.12kpc_ra302.7555_dec-41.5051_id32.csv
1.122018454301964,301.45084916008835,-40.16318363444215,1.0481647711411264,20.52612297736536,1382,cluster_d1.12kpc_ra301.4508_dec-40.1632_id33.csv
1.122018454301964,303.0543893667326,-39.13529973240536,0.3936560064122059,7.7089326228724495,220,cluster_d1.12kpc_ra303.0544_dec-39.1353_id34.csv
1.122018454301964,302.5508227424965,-36.62643972016597,0.3584855254792748,7.020192038683109,194,cluster_d1.12kpc_ra302.5508_dec-36.6264_id35.csv
1.122018454301964,303.10046063083877,-35.70808192727292,0.34143162035853847,6.686226842188803,194,cluster_d1.12kpc_ra303.1005_dec-35.7081_id36.csv
1.122018454301964,303.25693142231626,-32.11570525194145,0.37809205160876214,7.404144998726448,217,cluster_d1.12kpc_ra303.2569_dec-32.1157_id37.csv
1.122018454301964,306.8574656058014,-29.689897090078944,0.34897627890467103,6.833973258977406,195,cluster_d1.12kpc_ra306.8575_dec-29.6899_id38.csv
1.122018454301964,306.3294244266649,-28.542004430096775,0.7128369467838114,13.959426261354587,664,cluster_d1.12kpc_ra306.3294_dec-28.5420_id39.csv
1.122018454301964,306.60054171091434,-27.387064722114104,0.6884972806502805,13.4827846167962,430,cluster_d1.12kpc_ra306.6005_dec-27.3871_id40.csv
1.122018454301964,305.1942430335997,-26.573041663692447,0.5622626349175223,11.010742115793395,484,cluster_d1.12kpc_ra305.1942_dec-26.5730_id41.csv
1.122018454301964,306.0042978462158,-24.37320461084792,0.7725554352789609,15.128888422861229,431,cluster_d1.12kpc_ra306.0043_dec-24.3732_id42.csv
1.122018454301964,306.9845505210412,-21.63483574148207,0.43905556777658633,8.597988432932917,324,cluster_d1.12kpc_ra306.9846_dec-21.6348_id43.csv
1.122018454301964,307.6760949992018,-19.604164815030227,0.33488108276708745,6.557948212843536,195,cluster_d1.12kpc_ra307.6761_dec-19.6042_id44.csv
1.122018454301964,309.4203808658931,-16.174229399158964,0.33741296361700435,6.607529823598162,194,cluster_d1.12kpc_ra309.4204_dec-16.1742_id45.csv
1.122018454301964,312.19431242119015,-16.047368025644577,0.5110712780550677,10.008266059292287,386,cluster_d1.12kpc_ra312.1943_dec-16.0474_id46.csv
1.122018454301964,311.41144984336887,-11.50673392251976,0.7200363863258001,14.100412283281353,480,cluster_d1.12kpc_ra311.4114_dec-11.5067_id47.csv
1.122018454301964,313.19301118047144,-9.08862973915921,0.42220128760750364,8.267932475157378,278,cluster_d1.12kpc_ra313.1930_dec-9.0886_id48.csv
1.122018454301964,312.8475908327087,-8.193793454705169,0.348572811559863,6.826072191735979,194,cluster_d1.12kpc_ra312.8476_dec-8.1938_id49.csv
1.122018454301964,313.93590468450833,-6.126431660101638,0.40943733780536357,8.017977114579466,292,cluster_d1.12kpc_ra313.9359_dec-6.1264_id50.csv
1.2589254117941673,5.996187580141626,-72.06594317308472,0.5494809187029353,12.073410951555026,361,cluster_d1.26kpc_ra5.9962_dec-72.0659_id1.csv
1.2589254117941673,297.7556832162613,-70.92487672873175,0.5669872129619963,12.458066137266323,416,cluster_d1.26kpc_ra297.7557_dec-70.9249_id2.csv
