Simbad_Name,Simbad_Type,Simbad_Dist_kpc,RA_center,Dec_center,Our_Dist_kpc,Our_Radius_pc,Members,Source_File
OGLE-CL SMC 205,Cl*,Unknown,12.793,-72.9731,3.548133892335757,8.25,100,cluster_d3.55kpc_ra12.7930_dec-72.9731_id4.csv
OGLE-CL SMC 63,As*,Unknown,12.582149999999999,-73.08175,"2.23872113856834, 2.511886431509582",15.475,"315, 492",cluster_d2.24kpc_ra12.5595_dec-73.0712_id3.csv | cluster_d2.51kpc_ra12.6048_dec-73.0923_id2.csv
OGLE-CL SMC 75,Cl*,Unknown,12.5947,-73.0835,2.8183829312644546,20.5,572,cluster_d2.82kpc_ra12.5947_dec-73.0835_id3.csv
PSZRX G032.81-30.31,ClG,Unknown,310.2113,-13.6956,1.0,7.02,248,cluster_d1.00kpc_ra310.2113_dec-13.6956_id43.csv
QW 1959-535,ClG,Unknown,300.9725,-53.6102,1.2589254117941673,6.6,174,cluster_d1.26kpc_ra300.9725_dec-53.6102_id16.csv
QW 2031-207,ClG,Unknown,308.9071,-20.47,1.0,6.73,216,cluster_d1.00kpc_ra308.9071_dec-20.4700_id40.csv
XCLASS 24622,ClG,Unknown,300.7043,-43.8963,1.122018454301964,17.34,1064,cluster_d1.12kpc_ra300.7043_dec-43.8963_id29.csv
[BE99] OpCl Clump 11,Cl*,Unknown,84.17605,-70.1939,"2.8183829312644546, 3.162277660168379",12.055,"232, 214",cluster_d2.82kpc_ra84.1914_dec-70.1950_id2.csv | cluster_d3.16kpc_ra84.1607_dec-70.1928_id2.csv
[BVH2007] 224,ClG,Unknown,303.1005,-35.7081,1.122018454301964,6.69,194,cluster_d1.12kpc_ra303.1005_dec-35.7081_id36.csv
[CHM2007] HDC 1100,GrG,Unknown,303.72700000000003,-43.85156666666666,"1.0, 1.122018454301964, 1.2589254117941673",11.736666666666666,"889, 544, 190",cluster_d1.00kpc_ra303.7029_dec-43.7725_id24.csv | cluster_d1.12kpc_ra303.6700_dec-43.7802_id27.csv | cluster_d1.26kpc_ra303.8081_dec-44.0020_id20.csv
[CHM2007] HDC 1112,GrG,Unknown,307.6668,-19.61255,"1.122018454301964, 1.2589254117941673",6.935,"195, 220",cluster_d1.12kpc_ra307.6761_dec-19.6042_id44.csv | cluster_d1.26kpc_ra307.6575_dec-19.6209_id31.csv
[CHM2007] LDC 1371,GrG,Unknown,299.1958,-60.2736,1.2589254117941673,10.1,328,cluster_d1.26kpc_ra299.1958_dec-60.2736_id10.csv
[CHM2007] LDC 1381,GrG,Unknown,301.721,-39.3861,1.0,25.9,1755,cluster_d1.00kpc_ra301.7210_dec-39.3861_id26.csv
[CHM2007] LDC 1404,GrG,Unknown,307.8535,-19.8917,1.0,7.12,230,cluster_d1.00kpc_ra307.8535_dec-19.8917_id41.csv
